x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
-975,3175,0,0.91602492,-0.10663736,-0.018949382,-0.003902086,-0.011748556,-0.003844121
-925,3175,0,0.92282575,-0.12494534,-0.017167274,-0.006976714,-0.010942919,-0.00493766
-875,3175,0,0.9320116,-0.1414929,-0.015008873,-0.009397229,-0.009830989,-0.005895915
-825,3175,0,0.94294691,-0.15577978,-0.012665624,-0.011156272,-0.008394564,-0.006875482
-775,3175,0,0.95512885,-0.16746172,-0.010292329,-0.012287033,-0.006678698,-0.007840442
-725,3175,0,0.96815085,-0.17639905,-0.008006539,-0.012852648,-0.004828828,-0.008614466
-675,3175,0,0.98164636,-0.18268284,-0.005893786,-0.012935424,-0.003068092,-0.009002937
-625,3175,0,0.99524212,-0.18662146,-0.00401348,-0.012626241,-0.001621753,-0.008912431
-575,3175,0,1.0085456,-0.18867433,-0.002403182,-0.012015939,-0.0006297,-0.008399667
-525,3175,0,1.0211678,-0.18935035,-0.001080858,-0.011188028,-9.18E-05,-0.007637753
-475,3175,0,1.0327706,-0.18910637,-4.67E-05,-0.010213571,0.000122247,-0.006822143
-425,3175,0,1.0431206,-0.18827656,0.000714093,-0.009148283,0.000209225,-0.006080346
-375,3175,0,1.052116,-0.18704954,0.001225574,-0.008033243,0.000343103,-0.005429532
-325,3175,0,1.0597836,-0.18550397,0.001516859,-0.006897359,0.000604451,-0.004803394
-275,3175,0,1.0662274,-0.18367621,0.001617154,-0.005761865,0.0009611,-0.004117918
