x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
-1825,3025,0,0.96050006,-0.003642265,-0.01233962,0.002554924,-0.01708083,0.003765847
-1775,3025,0,0.95611531,-0.016937852,-0.012835135,-0.000518582,-0.017211463,-0.000204018
-1725,3025,0,0.9548012,-0.031018117,-0.01257473,-0.00361577,-0.016100857,-0.004170475
-1675,3025,0,0.95674473,-0.044976681,-0.011600593,-0.006557074,-0.013923056,-0.007878894
-1625,3025,0,0.96193582,-0.057959791,-0.009997339,-0.009183141,-0.010925304,-0.011104556
-1575,3025,0,0.97017372,-0.069223501,-0.007879587,-0.011362759,-0.007400301,-0.013665892
-1525,3025,0,0.98108411,-0.078175135,-0.005381678,-0.012999095,-0.003655979,-0.015437809
-1475,3025,0,0.99414873,-0.084399134,-0.002646077,-0.014033055,1.93E-05,-0.016358543
-1425,3025,0,1.0087407,-0.087664455,0.000185584,-0.014444671,0.00338751,-0.016432989
-1375,3025,0,1.0241692,-0.087914452,0.002979263,-0.014251211,0.006284487,-0.015726581
-1325,3025,0,1.0397253,-0.085247517,0.005614458,-0.013503602,0.008629931,-0.014352974
-1275,3025,0,1.0547304,-0.079885513,0.007987963,-0.012279649,0.010421953,-0.012457505
-1225,3025,0,1.0685794,-0.072137058,0.01001793,-0.010676531,0.011718737,-0.010199617
-1175,3025,0,1.0807767,-0.062364295,0.011646081,-0.008801235,0.012610896,-0.007738314
-1125,3025,0,1.0909588,-0.050950468,0.012840101,-0.006762616,0.013191922,-0.005221556
-1075,3025,0,1.0989074,-0.038278826,0.013593435,-0.00466319,0.013534103,-0.002778923
-1025,3025,0,1.1045413,-0.024711551,0.013924327,-0.002593686,0.013675878,-0.000517326
-975,3025,0,1.107904,-0.010591382,0.013871843,-0.000629617,0.013620568,0.001481717
-925,3025,0,1.1091397,0.003761841,0.013490851,0.00117018,0.013348745,0.003164654
-875,3025,0,1.1084626,0.01804772,0.012845205,0.002763194,0.012834571,0.004507304
-825,3025,0,1.106131,0.031979173,0.012001446,0.004121858,0.012065701,0.005514894
-775,3025,0,1.1024208,0.045284688,0.011023043,0.0052315,0.011056734,0.006218104
-725,3025,0,1.0976079,0.057719074,0.009966337,0.006088301,0.009855431,0.006665976
-675,3025,0,1.0919534,0.069075786,0.008878199,0.00669684,0.008538155,0.006914815
-625,3025,0,1.0856977,0.079205334,0.007795686,0.007068445,0.007198785,0.007017104
-575,3025,0,1.0790601,0.088032007,0.006747445,0.007218834,0.005931176,0.007010874
-525,3025,0,1.0722375,0.095560968,0.0057549,0.00716737,0.004813273,0.006915192
-475,3025,0,1.0654078,0.10187587,0.004833704,0.006935051,0.003894188,0.00673046
-425,3025,0,1.0587356,0.10712118,0.003995017,0.006544735,0.003187737,0.006444513
-375,3025,0,1.0523698,0.11147507,0.003245353,0.006019851,0.002673218,0.006042086
-325,3025,0,1.0464501,0.11511459,0.002586989,0.005384404,0.002304007,0.00551355
-275,3025,0,1.0411046,0.11818653,0.002017389,0.00466239,0.002018709,0.004861272
-225,3025,0,1.0364507,0.12078291,0.001529401,0.003876416,0.001755839,0.00410097
-175,3025,0,1.0325911,0.12293658,0.001112441,0.003046883,0.001464778,0.003256614
-125,3025,0,1.0296146,0.12462676,0.000752703,0.002190118,0.001115713,0.002356015
-75,3025,0,1.02759,0.12580189,0.000434722,0.001318554,0.000702301,0.001423299
