Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
69,12,-1.19E+02,-1.19E+02,247.403,-1.32E+02,69.083,4.00E+01
72,12,-1.20E+02,-1.20E+02,191.416,-1.35E+02,332.494,1.94E+01
75,12,-1.20E+02,-1.21E+02,74.48,-1.31E+02,255.509,4.00E+01
78,12,-1.18E+02,-1.19E+02,27.975,-1.35E+02,203.186,3.81E+01
81,12,-1.25E+02,-1.26E+02,321.124,-1.36E+02,90.257,1.26E+01
84,12,-1.22E+02,-1.23E+02,231.204,-1.33E+02,49.554,4.00E+01
87,12,-1.25E+02,-1.25E+02,199.202,-1.38E+02,30.185,2.73E+01
90,12,-1.34E+02,-1.34E+02,95.25,-1.56E+02,180.82,2.21E+01
93,12,-1.29E+02,-1.29E+02,48.035,-1.45E+02,186.441,1.94E+01
96,12,-1.32E+02,-1.32E+02,105.513,-1.47E+02,293.782,3.17E+01
99,12,-1.23E+02,-1.23E+02,151.544,-1.35E+02,309.606,2.07E+01
102,12,-1.20E+02,-1.21E+02,156.921,-1.33E+02,304.899,1.77E+01
105,12,-1.21E+02,-1.22E+02,175.878,-1.34E+02,317.762,1.71E+01
108,12,-1.19E+02,-1.19E+02,202.344,-1.32E+02,353.348,1.94E+01
111,12,-1.16E+02,-1.17E+02,195.61,-1.28E+02,352.586,2.04E+01
114,12,-1.17E+02,-1.18E+02,168.696,-1.30E+02,338.255,2.73E+01
117,12,-1.22E+02,-1.22E+02,128.114,-1.40E+02,357.587,2.08E+01
120,12,-1.29E+02,-1.31E+02,85.973,-1.33E+02,79.564,2.51E+01
123,12,-1.30E+02,-1.33E+02,160.983,-1.32E+02,58.85,1.93E+00
126,12,-1.33E+02,-1.33E+02,133.786,-1.48E+02,39.439,1.50E+01
129,12,-1.28E+02,-1.28E+02,301.947,-1.44E+02,211.181,1.58E+01
132,12,-1.22E+02,-1.22E+02,279.071,-1.36E+02,299.491,2.36E+01
135,12,-1.25E+02,-1.26E+02,299.653,-1.34E+02,292.816,2.82E+01
138,12,-1.27E+02,-1.27E+02,346.421,-1.53E+02,62.351,2.66E+01
141,12,-1.30E+02,-1.30E+02,76.382,-1.40E+02,62.59,2.35E+01
144,12,-1.29E+02,-1.29E+02,83.497,-1.41E+02,139.276,1.37E+01
147,12,-1.33E+02,-1.33E+02,226.079,-1.44E+02,191.978,1.66E+01
150,12,-1.31E+02,-1.31E+02,194.846,-1.42E+02,243.014,1.33E+01
153,12,-1.40E+02,-1.45E+02,174.813,-1.42E+02,160.07,1.82E+01
156,12,-1.35E+02,-1.35E+02,170.319,-1.49E+02,289.664,1.48E+01
159,12,-1.37E+02,-1.39E+02,196.667,-1.42E+02,175.794,1.52E+01
162,12,-1.26E+02,-1.26E+02,204.716,-1.42E+02,229.997,2.36E+01
165,12,-1.34E+02,-1.34E+02,347.211,-1.54E+02,310.584,2.49E+01
168,12,-1.47E+02,-1.48E+02,44.517,-1.52E+02,53.071,2.34E+01
171,12,-1.27E+02,-1.27E+02,254.607,-1.38E+02,266.384,2.56E+01
174,12,-1.28E+02,-1.28E+02,351.639,-1.47E+02,47.861,2.10E+01
177,12,-1.19E+02,-1.19E+02,203.431,-1.33E+02,248.754,1.75E+01
180,12,-1.11E+02,-1.11E+02,224.544,-1.25E+02,224.544,4.00E+01
0,15,-6.46E+01,-6.49E+01,73.57,-7.63E+01,253.57,4.00E+01
3,15,-7.60E+01,-7.63E+01,59.007,-8.79E+01,239.339,4.00E+01
6,15,-8.32E+01,-8.35E+01,215.524,-9.51E+01,35.208,4.00E+01
9,15,-8.61E+01,-8.64E+01,97.528,-9.79E+01,277.958,4.00E+01
12,15,-8.87E+01,-8.90E+01,273.862,-1.00E+02,93.606,4.00E+01
