Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
156,12,-1.18E+02,-1.18E+02,249.24,-1.32E+02,242.84,3.34E+01
159,12,-1.17E+02,-1.17E+02,72.952,-1.32E+02,67.422,3.54E+01
162,12,-1.15E+02,-1.15E+02,269.566,-1.30E+02,265.308,3.72E+01
165,12,-1.17E+02,-1.18E+02,56.797,-1.32E+02,48.655,3.16E+01
168,12,-1.14E+02,-1.14E+02,276.355,-1.29E+02,273.935,4.00E+01
171,12,-1.17E+02,-1.17E+02,65.967,-1.31E+02,62.088,3.78E+01
174,12,-1.14E+02,-1.14E+02,272.978,-1.28E+02,272.187,4.00E+01
177,12,-1.16E+02,-1.16E+02,74.118,-1.30E+02,73.74,4.00E+01
180,12,-1.12E+02,-1.12E+02,271.46,-1.26E+02,271.461,4.00E+01
0,15,-7.53E+01,-7.56E+01,350.356,-8.70E+01,170.356,4.00E+01
3,15,-8.83E+01,-8.86E+01,19.552,-9.99E+01,199.939,4.00E+01
6,15,-9.91E+01,-9.94E+01,20.592,-1.11E+02,196.517,3.54E+01
9,15,-9.16E+01,-9.19E+01,296.839,-1.04E+02,117.959,4.00E+01
12,15,-9.24E+01,-9.27E+01,173.005,-1.04E+02,354.173,4.00E+01
